Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-09-10,A Tale of Two Sisters,2003,https://boxd.it/280Exx,4.5,,"Visually and sonically one of the most stunning movies I’ve experienced. The story is good with some of the nuanced storytelling I’ve come to associate with Korean thrillers. Kim Jee-woon creates space with such uncomfortable shots, they are hard to ignore. Some of the scares are going to be seared into my brain forever.

I guess this is considered a “slow burn” but I was engaged the entire time and could’ve watched this for much longer. Maybe I have a high tolerance for slow paced story telling, or maybe this movie just kicks ass the whole way through. No matter the case, this was great.",,2021-09-09
2021-09-14,Malignant,2021,https://boxd.it/28ArYn,3,,"I’m not sure what to say besides I found this to be incredibly stupid. Sometimes, it was stupid in a fun way. At other times, I rolled my eyes so hard I’m surprised they didn’t fall out. And that’s all I’ve got.",,2021-09-13
2021-09-26,Prom Night,2008,https://boxd.it/2a8eq5,1.5,,This movie sucks so bad.,,2021-09-25
2021-10-02,The Texas Chain Saw Massacre,1974,https://boxd.it/2aTHij,4,Yes,"The hitchhiker is still one of the most unnerving characters I’ve ever seen in a movie. It really sets the scene for this no-frills classic. It’s understandable why almost every trope, scene, and character has been copied to death by horror directors since. That being said, slashers really aren’t my main cup of tea and I still think the main chase sequence lasts too long.",,2021-10-01
2021-10-02,Raw,2016,https://boxd.it/2aVMhp,5,Yes,"There is something uniquely terrifying about the first time you think “oh no I am turning into my mother”, but this movie takes that fear, puts it into a nice little package, and shoots it straight into outer space.

If <i>Titane</i> is half the movie this is, I am in for a treat.",,2021-10-01
2021-10-03,Titane,2021,https://boxd.it/2b6pK1,4,,"An insane exploration into gender, intimate relationships, and the limits of the human body. 

Firmly planted in the body horror genre, <i>Titane</i> holds nothing back. Beautifully shot, with a crazy good performance from Agatha Rouselle, this movie is definitely captivating. Before the plot is even fully revealed, I was floored by Alexia’s whole <i>thing</i>. I could have had a whole movie just based on the first 30ish minutes. That being said, when this movie switched gears (ha), I was still all on board. 

Without spoiling anything specific, I will say that the crux of the body horror plot line is my worst nightmare. Absolutely terrifying and uncomfortable to watch all the way to the end. 

I also want to put on record that I think anyone calling this movie “sexy” either belongs in the deepest pit of horny jail or didn’t watch past the first act. There. I said it.",,2021-10-02
2021-10-04,The Invisible Man,2020,https://boxd.it/2bf7sB,4,,I enjoyed this more than I thought I would. I remember seeing the trailer for this and just rolling my eyes. Overall a solid thriller with a tough subject and a lot of fun camera work.,,2021-10-03
2021-10-06,The Empty Man,2020,https://boxd.it/2bAPgL,3.5,,"Definitely dragged on a little too long, but there were some great moments.",,2021-10-05
2021-10-10,Friday the 13th,1980,https://boxd.it/2c2SrX,3.5,Yes,I didn’t remember Steve Christy being such a DILF.,,2021-10-09
2021-10-12,Audition,1999,https://boxd.it/2cveQV,4,Yes,"Not sure what compelled me to rewatch this after so many years, but I think I enjoyed it more than last time. I mean I didn’t <i>enjoy </i>it really, but I found more to appreciate in it. It’s artsy and unnerving and way more compelling than I remember. 

That one scene with the dog bowl, though? Yeah FUCK THAT.",,2021-10-11
2021-10-13,V/H/S/94,2021,https://boxd.it/2cFWpT,3,,"A lot of really great scares in the first half and an insane amount of gore in the second half. “Storm Drain” was my favorite overall, if I had to choose. It sucked that the best of the segments was first, since it really set expectations high. 

 “The Empty Wake” was a little slow, but it went from 0 to 100 real quick. I’ll give it that. Kind of a classic jump scare setup, but it was fun!

“The Subject” was fucking WILD. Imagine if the guy from Human Centipede got a degree in robotics engineering and really loved Gears of War. This one surprisingly dragged the most. It felt like it was never going to end. 

“Terror” was another incredibly wild concept, but started off feeling almost too real. It goes off the tracks in such an incredible way though. Good shit. I thought it was a nice final segment. 

Overall, it was good and I would recommend to anyone who enjoyed the others in the series or for someone who likes anthologies.",,2021-10-12
2021-10-16,The Medium,2021,https://boxd.it/2d4fzr,3.5,,"I’ve been waiting to see this movie since I heard about it at the beginning of this year. Admittedly, there has been some expectations building up in my head because of that. But I thought this was fun and crazy and quite a bit scary. 

I also wish people would never touch the documentary-style horror genre ever again. Give me focused, well-thought-out cinematic shots of terror. Don’t give me “watching a 14 year old with ADHD playing a first person shooter” vibes. AHHHHH I’m so mad about that choice. Everything else rocked. 

More possession movies that don’t involve the Catholic church, please and thank you.",,2021-10-15
2021-10-19,Hellraiser,1987,https://boxd.it/2dAtKx,4.5,,Absolutely bonkers. Completely unrealistic. Literally no one has ever been that horny for someone named Frank.,,2021-10-18
2021-10-22,Noroi: The Curse,2005,https://boxd.it/2e11SR,4.5,,"Easily the most terrifying movie I’ve watched this spooky season. I actually didn’t hate the found footage style in this, so that must mean it’s good. Thoroughly impressed. I’m surprised there aren’t more fans of this movie.",,2021-10-21
2021-10-23,The Wailing,2016,https://boxd.it/2e90vt,5,Yes,"<blockquote>
<i>“What’s the point of taking all of those tonics if it’s the lightning that will kill you” </i></blockquote>I love this movie more on the rewatch. It continues to be one of the top movies I’ve ever experienced that I can’t recommend to just anyone. Some of y’all can’t sit through a movie to save your life. But if you’ve got an attention span and you want to enjoy the best Korean cinema has to offer, strap in. You know that feeling you get when you’re watching a scary movie and there’s that one moment where you think “oh shit ok here we go! It’s kicking off now!”
Imagine that for 2 hours. 

And the way this movie looks? Flawless. Those angles, the composition, the lighting. You’re given everything you need to understand and enjoy, but nothing more. That subtlety is lost in a lot of modern American horror, honestly. There’s so much to enjoy here.",,2021-10-22
2021-10-29,High Life,2018,https://boxd.it/2f8HcB,2.5,,"A surprising amount of cum for a film about nothing. If I didn’t have someone else to watch this with, I would have been much more upset.",,2021-10-28
2021-11-01,Kandisha,2020,https://boxd.it/2fGpJv,2.5,,"Overall, not great. A couple of the deaths were excellent, though. You almost forgot you were watching a bad movie during those moments.",,2021-10-31
2021-11-10,Caveat,2020,https://boxd.it/2h4wDh,3.5,,This movie is creepy as hell. There were a couple of missteps in the script that made this way more clunky than it had to be. But goddamn if it wasn’t creepy and unsettling from the get go.,,2021-11-09
2021-11-22,The Terror Within,1989,https://boxd.it/2iWFTZ,2,,"Kind of a mess, but great to put on in the background. Watching the tv version where all the curse words were bleeped out made it funnier. The monster suit is laughable at best. An incredibly bad Alien ripoff but <b>I am typing all of this as I am starting to watch The Terror Within II. </b>",,2021-11-21
2021-11-22,The Terror Within II,1991,https://boxd.it/2iXlIp,1.5,,"<blockquote>
<i>Come to daddy </i></blockquote>ok I’ve had enough of this",,2021-11-21
2021-11-22,Deathstalker,1983,https://boxd.it/2iYqTJ,1,,Lmaoooooooo this is a porn,,2021-11-21
2021-11-23,The Lobster,2015,https://boxd.it/2j7bRL,4,,Yorgos never fails to make a movie that makes my eyes and ears happy but makes my brain scream in agony.,,2021-11-22
2021-11-24,Her,2013,https://boxd.it/2jePMl,4,,This movie made me feel soft and fragile. My parents didn’t understand it. Happy Thanksgiving.,,2021-11-23
2021-11-26,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/2jtgWl,3.5,Yes,"The style of this movie is my favorite in the HP series. I think the basilisk still looks great. They’re always showing the series on tv during the holidays, so I associate it with happy memories and family.",,2021-11-25
2021-12-16,Natural Born Killers,1994,https://boxd.it/2mrFGF,3,,"Kinda quirky, huh",,2021-12-15
2021-12-17,Les Misérables,2012,https://boxd.it/2mFq1P,1.5,,"Listen, I hate musicals. It’s not from a lack of trying to like them, either. I love corny shit. One of my favorite bands ever is Fall Out Boy, for god’s sake. However, I always end up, half way through a musical, thinking “what the flying fuck is any of this about”. 

Ok so fast forward to last night. My friends and I wanted to watch a movie. They talked me into Les Mis, somehow. Sure whatever. How bad could it be? 

I cried a few times while watching this. I was laughing so hard. <b>WHY DOES THIS MOVIE LOOK LIKE SHIT. </b>The editing is so bad??? The set design is so bad???? I felt nothing for the characters and was honestly stoked when they all started to die. I feel like I’m missing something, but I don’t care to figure out what that is.",,2021-12-16
2021-12-26,The Nine Lives of Christmas,2014,https://boxd.it/2onfDl,3.5,,Going to start acting like I’m too busy with school to date anyone so I too can find love with a hot firefighter who has a very cute cat.,,2021-12-25
2021-12-28,Don't Look Up,2021,https://boxd.it/2p8cd9,2.5,,"For the record!!!! As an astronomy grad student!!! Jennifer Lawrence’s character is extremely spot on and I would hook up with an “anarchist” Timothée Chalamet lookalike in an instant. I don’t even need the excuse of an apocalyptic comet or anything. Truly, that is the only positive takeaway I have from this movie.",,2021-12-27
2021-12-31,Licorice Pizza,2021,https://boxd.it/2pXE4V,3,,There were 100000 subplots in this and they were all better than the main plot. The only way you’d catch me hanging out with 15 year olds would be if it were at gunpoint. I really cannot understand why any of this story happened. I’d give it an extra half star if the last 5 minutes of this movie were cut.,,2021-12-31
2022-01-02,Censor,2021,https://boxd.it/2qnkaB,3.5,,"Neat little movie with a unique plot and some interesting choices in storytelling. Maybe it verges on taking itself too seriously at some points, but overall a good watch.",,2022-01-01
2022-01-03,Gaia,2021,https://boxd.it/2qHOmn,3,,Story doesn’t make a whole lot of sense but the vibes are immaculate.,,2022-01-02
